127.0.0.1 - - [02/May/2021:21:12:44 -0300] "GET / HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [02/May/2021:21:12:50 -0300] "GET /projetoweb/ HTTP/1.1" 200 210
0:0:0:0:0:0:0:1 - - [02/May/2021:21:14:04 -0300] "GET /projetoweb/ListaEstado HTTP/1.1" 200 2471
0:0:0:0:0:0:0:1 - - [02/May/2021:21:14:06 -0300] "GET /favicon.ico HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [02/May/2021:21:14:45 -0300] "GET /projetoweb/ListaEstado HTTP/1.1" 200 2077
0:0:0:0:0:0:0:1 - - [02/May/2021:21:15:24 -0300] "GET /projetoweb/ListaEstado HTTP/1.1" 200 2091
0:0:0:0:0:0:0:1 - - [02/May/2021:21:16:05 -0300] "GET /projetoweb/ListaEstado HTTP/1.1" 200 2103
0:0:0:0:0:0:0:1 - - [02/May/2021:21:16:22 -0300] "GET /projetoweb/ListaEstado HTTP/1.1" 200 2103
0:0:0:0:0:0:0:1 - - [02/May/2021:21:17:05 -0300] "GET /projetoweb/ListaEstado HTTP/1.1" 200 2104
0:0:0:0:0:0:0:1 - - [02/May/2021:21:17:34 -0300] "POST /ListaEstado HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [02/May/2021:21:18:08 -0300] "POST /ListaEstado HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [02/May/2021:21:18:17 -0300] "POST /ListaEstado HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [02/May/2021:21:18:54 -0300] "POST /ListaEstado HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [02/May/2021:21:19:23 -0300] "GET /projetoweb/ListaEstado HTTP/1.1" 200 2091
0:0:0:0:0:0:0:1 - - [02/May/2021:21:22:37 -0300] "POST /ListaEstado HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [02/May/2021:21:22:47 -0300] "GET /projetoweb/ListaEstado HTTP/1.1" 200 2091
0:0:0:0:0:0:0:1 - - [02/May/2021:21:22:49 -0300] "POST /ListaEstado HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [02/May/2021:21:24:34 -0300] "POST /ListaEstado HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [02/May/2021:21:24:39 -0300] "GET /projetoweb/ListaEstado HTTP/1.1" 200 2091
0:0:0:0:0:0:0:1 - - [02/May/2021:21:24:46 -0300] "POST /ListaEstado HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [02/May/2021:21:25:10 -0300] "GET /listaEstado HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [02/May/2021:21:27:38 -0300] "GET /ListaEstado HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [02/May/2021:21:27:40 -0300] "GET /ListaEstado HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [02/May/2021:21:27:41 -0300] "GET /ListaEstado HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [02/May/2021:21:27:41 -0300] "GET /ListaEstado HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [02/May/2021:21:27:59 -0300] "GET /ListaEstado HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [02/May/2021:21:28:00 -0300] "GET /ListaEstado HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [02/May/2021:21:28:10 -0300] "GET /projetoweb/ListaEstado HTTP/1.1" 200 2090
0:0:0:0:0:0:0:1 - - [02/May/2021:21:28:15 -0300] "POST /projetoweb/ListaEstado HTTP/1.1" 200 827
0:0:0:0:0:0:0:1 - - [02/May/2021:21:28:25 -0300] "POST /projetoweb/ListaEstado HTTP/1.1" 200 2090
0:0:0:0:0:0:0:1 - - [02/May/2021:21:28:32 -0300] "POST /projetoweb/ListaEstado HTTP/1.1" 200 984
0:0:0:0:0:0:0:1 - - [02/May/2021:21:28:37 -0300] "POST /projetoweb/ListaEstado HTTP/1.1" 200 822
0:0:0:0:0:0:0:1 - - [02/May/2021:21:32:36 -0300] "POST /projetoweb/ListaEstado HTTP/1.1" 200 949
0:0:0:0:0:0:0:1 - - [02/May/2021:21:32:40 -0300] "POST /projetoweb/CadastroEstado HTTP/1.1" 200 930
0:0:0:0:0:0:0:1 - - [02/May/2021:21:33:37 -0300] "POST /projetoweb/addEstado HTTP/1.1" 200 4681
0:0:0:0:0:0:0:1 - - [02/May/2021:21:34:14 -0300] "POST /projetoweb/addEstado HTTP/1.1" 200 4681
0:0:0:0:0:0:0:1 - - [02/May/2021:21:35:42 -0300] "POST /projetoweb/CadastroEstado HTTP/1.1" 200 930
0:0:0:0:0:0:0:1 - - [02/May/2021:21:36:02 -0300] "POST /projetoweb/addEstado HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/May/2021:21:36:02 -0300] "GET /projetoweb/ListaEstado HTTP/1.1" 200 2380
0:0:0:0:0:0:0:1 - - [02/May/2021:21:36:07 -0300] "POST /projetoweb/CadastroEstado HTTP/1.1" 200 930
0:0:0:0:0:0:0:1 - - [02/May/2021:21:36:38 -0300] "GET /projetoweb/CadastroEstado?idEstado=24 HTTP/1.1" 200 948
0:0:0:0:0:0:0:1 - - [02/May/2021:21:36:43 -0300] "POST /projetoweb/addEstado HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/May/2021:21:36:43 -0300] "GET /projetoweb/ListaEstado HTTP/1.1" 200 2380
0:0:0:0:0:0:0:1 - - [02/May/2021:21:36:59 -0300] "POST /projetoweb/CadastroEstado HTTP/1.1" 200 930
0:0:0:0:0:0:0:1 - - [02/May/2021:21:37:18 -0300] "POST /projetoweb/addEstado HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/May/2021:21:37:18 -0300] "GET /projetoweb/ListaEstado HTTP/1.1" 200 2536
0:0:0:0:0:0:0:1 - - [02/May/2021:21:37:21 -0300] "GET /projetoweb/CadastroEstado?idEstado=25 HTTP/1.1" 200 941
